n,stopping_time,max_excursion_log,odd_even_ratio,entropy,compression_ratio,excursion_normalized,up_down_ratio,variance_log,peak_late,omega,steps
16547,159.0,4.871952193841888,0.5384615384615384,0.9395263129669762,11.345568709941366,4.500151084788784,0.5384615384615384,0.7141721203407141,0.01875,STABLE,159
41122,57.0,4.7901795690701485,0.38095238095238093,0.8726965039103789,3.7187762706431924,1.5000243178833714,0.38095238095238093,1.8480436912321274,0.034482758620689655,STABLE,57
24740,95.0,4.847998108625644,0.47692307692307695,0.9182958340544896,6.509275634246689,2.848342764753436,0.47692307692307695,1.674251014310066,0.14583333333333334,STABLE,95
32934,147.0,4.972188948141525,0.5257731958762887,0.9352691398683566,9.795239432207655,2.84799902835975,0.5257731958762887,1.0759770593238693,0.0945945945945946,STABLE,147
163,23.0,2.8674674878590514,0.3333333333333333,0.8708644692353646,3.129793280862839,4.515337423312883,0.3333333333333333,0.6291178671250178,0.125,STABLE,23
49313,189.0,5.550816393207358,0.5447154471544715,0.9409217747114994,12.12340440073502,7.208646807129965,0.5447154471544715,1.2602855937858037,0.12105263157894737,STABLE,189
169,49.0,3.640779477344857,0.47058823529411764,0.9248187049730301,6.620834783469333,25.869822485207102,0.47058823529411764,0.8717611252341293,0.32,STABLE,49
32937,98.0,5.926435573253102,0.47761194029850745,0.9182958340544896,6.530102440800578,25.630142393053404,0.47761194029850745,2.482480095389269,0.16161616161616163,STABLE,98
41126,137.0,5.068649603895834,0.5164835164835165,0.9321115676166747,8.938029558539213,2.8479307494042696,0.5164835164835165,1.2003779605644416,0.10144927536231885,STABLE,137
8365,39.0,4.399621810671737,0.3333333333333333,0.8485481782946158,2.993058447063738,3.0001195457262404,0.3333333333333333,1.4216007079568915,0.025,STABLE,39
176,18.0,2.247973266361807,0.26666666666666666,0.8314743880097291,2.413052484458363,1.0,0.26666666666666666,0.3424589177585423,0.0,STABLE,18
16560,128.0,4.219086557169252,0.5176470588235295,0.9330252953592911,9.132801242172478,1.0,0.5176470588235295,0.6300694124708448,0.0,STABLE,128
49328,39.0,4.693102311511525,0.2903225806451613,0.8112781244591328,2.501584469269041,1.0,0.2903225806451613,1.6574509728617368,0.0,STABLE,39
49335,145.0,6.079274247490616,0.5208333333333334,0.9334548655102479,9.300640643359497,24.328691598256814,0.5208333333333334,1.7119429671728488,0.19863013698630136,STABLE,145
8376,127.0,3.965342835560622,0.5238095238095238,0.9354557645575772,9.74520828587592,1.1021967526265521,0.5238095238095238,0.6034551716833847,0.7265625,STABLE,127
41145,181.0,5.603089134647177,0.5423728813559322,0.9402859586706311,11.808124242016435,9.744756349495686,0.5423728813559322,1.5036559142103227,0.2802197802197802,STABLE,181
186,18.0,2.44870631990508,0.26666666666666666,0.8314743880097291,2.3875342662206815,1.5053763440860215,0.26666666666666666,0.5547096016712166,0.10526315789473684,STABLE,18
32955,121.0,5.222302784225702,0.5061728395061729,0.9288391461883213,8.062254060631293,5.062661204673039,0.5061728395061729,1.0546328392683402,0.06557377049180328,STABLE,121
32956,160.0,5.603089134647177,0.5333333333333333,0.9376220862260216,10.660800719493073,12.166160941861877,0.5333333333333333,1.3860054571956038,0.18633540372670807,STABLE,160
