d,k,c,n,omega,cycle_or_info
2,2,5,498,CYCLIC,[np.int32(-5)]
2,2,5,373,CYCLIC,[np.int32(-5)]
2,2,5,1067,CYCLIC,[np.int32(-5)]
2,2,5,1613,CYCLIC,[np.int32(-5)]
2,2,5,239,CYCLIC,[np.int32(-5)]
2,2,5,1836,CYCLIC,[np.int32(-5)]
2,2,5,550,CYCLIC,[np.int32(-5)]
2,2,5,1944,CYCLIC,[np.int32(-5)]
2,2,5,244,CYCLIC,[np.int32(-5)]
2,2,5,1726,CYCLIC,[np.int32(-5)]
2,2,5,1663,CYCLIC,[np.int32(-5)]
2,2,5,29,CYCLIC,[np.int32(-5)]
2,2,5,1737,CYCLIC,[np.int32(-5)]
2,2,5,1752,CYCLIC,[np.int32(-5)]
2,2,5,849,CYCLIC,[np.int32(-5)]
2,2,5,638,CYCLIC,[np.int32(-5)]
2,2,5,1625,CYCLIC,[np.int32(-5)]
2,2,5,923,CYCLIC,[np.int32(-5)]
2,2,5,816,CYCLIC,[np.int32(-5)]
2,2,5,579,CYCLIC,[np.int32(-5)]
2,2,5,795,CYCLIC,[np.int32(-5)]
2,2,5,52,CYCLIC,[np.int32(-5)]
2,2,5,956,CYCLIC,[np.int32(-5)]
2,2,5,1282,CYCLIC,[np.int32(-5)]
2,2,5,919,CYCLIC,[np.int32(-5)]
2,2,5,1547,CYCLIC,[np.int32(-5)]
2,2,5,1455,CYCLIC,[np.int32(-5)]
2,2,5,311,CYCLIC,[np.int32(-5)]
2,2,5,345,CYCLIC,[np.int32(-5)]
2,2,5,1786,CYCLIC,[np.int32(-5)]
2,2,5,982,CYCLIC,[np.int32(-5)]
2,2,5,961,CYCLIC,[np.int32(-5)]
2,2,5,1333,CYCLIC,[np.int32(-5)]
2,2,5,1501,CYCLIC,[np.int32(-5)]
2,2,5,647,CYCLIC,[np.int32(-5)]
2,2,5,841,CYCLIC,[np.int32(-5)]
2,2,5,1057,CYCLIC,[np.int32(-5)]
2,2,5,551,CYCLIC,[np.int32(-5)]
2,2,5,1400,CYCLIC,[np.int32(-5)]
2,2,5,1155,CYCLIC,[np.int32(-5)]
2,2,5,1735,CYCLIC,[np.int32(-5)]
2,2,5,1240,CYCLIC,[np.int32(-5)]
2,2,5,809,CYCLIC,[np.int32(-5)]
2,2,5,811,CYCLIC,[np.int32(-5)]
2,2,5,1089,CYCLIC,[np.int32(-5)]
2,2,5,1755,CYCLIC,[np.int32(-5)]
2,2,6,1974,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,774,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,141,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,126,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1353,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,972,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1224,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,234,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1020,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1068,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,750,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,99,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1977,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,396,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1170,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,513,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1797,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1320,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1509,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,90,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,921,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,246,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1953,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1350,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1671,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,711,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,378,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1257,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1038,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,312,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,1170,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,75,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,6,219,CYCLIC,[np.int32(12), np.int32(6), np.int32(3)]
2,2,7,1255,CYCLIC,[np.int32(-7)]
2,2,7,1162,CYCLIC,[np.int32(-7)]
2,2,7,636,CYCLIC,[np.int32(-7)]
2,2,7,1292,CYCLIC,[np.int32(-7)]
2,2,7,1156,CYCLIC,[np.int32(-7)]
2,2,7,828,CYCLIC,[np.int32(-7)]
2,2,7,1238,CYCLIC,[np.int32(-7)]
2,2,7,943,CYCLIC,[np.int32(-7)]
