n,cluster,length,max_log,stopping_time,event_entropy,event_compression,peak_count,return_count,cycle_count,avg_run_length,max_run_length,up_ratio,unique_values,fractal_like
33045,6,130,4.9962357725158855,129,1.4975460433113459,0.9961089494163424,1,127,0.0,1.00390625,2,0.17120622568093385,130,1.0
49430,6,120,5.046186795546937,119,1.5324284014270815,0.9957081545064378,2,112,0.0,1.0043103448275863,2,0.17167381974248927,120,1.0
33047,5,68,5.348447007932347,67,1.5900251985154377,0.9844961240310077,3,59,0.0,1.015748031496063,3,0.15503875968992248,68,1.0
41240,0,32,4.615329187387825,31,1.354417836666098,1.0,0,31,0.0,1.0,1,0.0967741935483871,32,1.0
49443,5,97,5.347324159621538,96,1.539545428738695,0.9893048128342246,2,89,0.0,1.0108108108108107,3,0.1657754010695187,97,1.0
24868,6,114,4.776534115518605,113,1.5534915960135622,0.9955357142857143,3,108,0.0,1.0044843049327354,2,0.16964285714285715,114,1.0
41252,5,89,5.348447007932347,88,1.623171888571183,0.9883040935672515,5,78,0.0,1.0118343195266273,3,0.16374269005847952,89,1.0
49444,6,97,4.898818391361433,96,1.529388184570358,1.0,2,93,0.0,1.0,1,0.16230366492146597,97,1.0
16677,6,160,4.699256544146335,159,1.5016062355091042,0.9968152866242038,1,154,0.0,1.0031948881789137,2,0.17834394904458598,160,1.0
33067,4,143,5.20118128916155,142,1.5695685595347177,0.9774436090225563,3,121,0.0,1.023076923076923,3,0.18421052631578946,143,1.0
24884,0,39,4.395937645080042,38,1.394874626831261,1.0,0,38,0.0,1.0,1,0.11842105263157894,39,1.0
16694,2,67,4.978148548764298,66,1.6890322210412743,0.9487179487179487,5,46,0.0,1.054054054054054,3,0.17094017094017094,67,1.0
49463,2,97,5.523591705577473,96,1.6005910598474273,0.9653179190751445,3,74,0.0,1.035928143712575,3,0.1791907514450867,97,1.0
41273,4,164,5.24627448218346,163,1.5601200554256878,0.9837662337662337,3,142,0.0,1.0165016501650166,2,0.18506493506493507,164,1.0
33082,6,99,4.695700519771171,98,1.4967427136569973,1.0,1,97,0.0,1.0,1,0.16326530612244897,99,1.0
8505,2,84,4.560396873673903,83,1.6296373752175977,0.951048951048951,3,57,0.0,1.0514705882352942,3,0.1888111888111888,84,1.0
16705,6,129,4.6999850662638485,128,1.5046650866341094,0.9920634920634921,1,123,0.0,1.008,2,0.1746031746031746,129,1.0
24899,4,158,5.049407984954794,157,1.5304472202488344,0.9901639344262295,2,146,0.0,1.009933774834437,3,0.18032786885245902,158,1.0
49476,0,66,4.694403358642115,65,1.435841808559991,1.0,0,65,0.0,1.0,1,0.14615384615384616,66,1.0
49478,5,66,5.04660830808549,65,1.5387106354384712,0.9922480620155039,2,62,0.0,1.0078125,2,0.14728682170542637,66,1.0
8520,0,79,4.084540532061484,78,1.5050361481263008,1.0,1,76,0.0,1.0,1,0.16129032258064516,79,1.0
24905,4,158,5.100677200390068,157,1.548134763530577,0.9901960784313726,3,146,0.0,1.00990099009901,3,0.17973856209150327,158,1.0
41290,6,120,4.7919501659061625,119,1.4995854292928412,1.0,1,116,0.0,1.0,1,0.1694915254237288,120,1.0
24912,6,127,4.3964260280181024,126,1.4630143377262081,1.0,0,126,0.0,1.0,1,0.17063492063492064,127,1.0
8528,0,35,3.9308981144101045,34,1.3935632931006348,1.0,0,34,0.0,1.0,1,0.11764705882352941,35,1.0
340,0,12,2.5327543789924976,11,1.2197484934607565,1.0,0,11,0.0,1.0,1,0.045454545454545456,12,1.0
24917,6,127,4.873628626525585,126,1.4983244314728537,0.9960159362549801,1,124,0.0,1.004,2,0.17131474103585656,127,1.0
24918,5,39,4.748722810452788,38,1.5613892190100263,0.9863013698630136,2,33,0.0,1.0138888888888888,2,0.1232876712328767,39,1.0
49497,6,115,5.222864678104532,114,1.5336321686311054,0.9910313901345291,2,107,0.0,1.009049773755656,2,0.17040358744394618,115,1.0
49498,0,66,4.870690608865931,65,1.4931795612280643,1.0,1,64,0.0,1.0,1,0.14615384615384616,66,1.0
345,1,126,3.965342835560622,125,1.7448075469283737,0.9230769230769231,9,61,0.0,1.0833333333333333,4,0.23076923076923078,126,1.0
16734,4,160,4.928011577509416,159,1.5749072153405352,0.9868421052631579,4,141,0.0,1.0133333333333334,2,0.18421052631578946,160,1.0
33119,2,143,5.701575755663024,142,1.6486919153570179,0.9491525423728814,5,89,0.0,1.0535714285714286,4,0.2076271186440678,143,1.0
24929,2,39,4.976171088048603,38,1.5991804497046314,0.9230769230769231,2,25,0.0,1.0833333333333333,2,0.13846153846153847,39,1.0
33123,4,161,5.173352376141804,160,1.5201469508352865,0.9936908517350158,2,155,0.0,1.0063492063492063,3,0.17665615141955837,161,1.0
33125,6,161,4.997285882094448,160,1.4959236967307574,0.9968652037617555,1,158,0.0,1.0031446540880504,2,0.1755485893416928,161,1.0
33128,6,130,4.520208326885991,129,1.462926725418039,1.0,0,129,0.0,1.0,1,0.17054263565891473,130,1.0
16746,6,129,4.400036923514113,128,1.4971382423690545,1.0,1,127,0.0,1.0,1,0.171875,129,1.0
364,1,95,3.965342835560622,94,1.8063169856654877,0.9172413793103448,11,40,0.0,1.0902255639097744,4,0.22758620689655173,95,1.0
33132,2,99,5.253224085025361,98,1.6774426623659018,0.978021978021978,7,77,0.0,1.0224719101123596,3,0.17582417582417584,99,1.0
49518,2,71,5.376534985393631,70,1.6485591592177236,0.968,4,51,0.0,1.0330578512396693,3,0.168,71,1.0
8570,6,172,4.109139643904016,171,1.5001173837197797,1.0,1,167,0.0,1.0,1,0.17994100294985252,172,1.0
49531,3,172,6.1321536651790876,171,1.6652191555795501,0.959731543624161,8,119,0.0,1.0419580419580419,4,0.20134228187919462,172,1.0
8574,4,128,4.989827880838907,127,1.631098901562329,0.9791666666666666,6,107,0.0,1.0212765957446808,4,0.18333333333333332,128,1.0
8578,0,79,4.109544800878346,78,1.5050361481263008,1.0,1,76,0.0,1.0,1,0.16129032258064516,79,1.0
33154,6,117,4.776534115518605,116,1.5276770012070413,1.0,2,112,0.0,1.0,1,0.16956521739130434,117,1.0
387,1,121,3.965342835560622,120,1.7334227116441747,0.9259259259259259,8,61,0.0,1.08,4,0.2275132275132275,121,1.0
24963,5,52,5.050522821704601,51,1.55726981790082,0.9797979797979798,2,46,0.0,1.0206185567010309,3,0.1414141414141414,52,1.0
41346,6,151,4.792538764335695,150,1.4960300080452231,1.0,1,148,0.0,1.0,1,0.17391304347826086,151,1.0
33159,4,117,5.3499163544177355,116,1.5664879341894882,0.9865470852017937,3,104,0.0,1.0136363636363637,3,0.17488789237668162,117,1.0
16776,0,67,4.224714304530398,66,1.4424818181915764,1.0,0,66,0.0,1.0,1,0.15151515151515152,67,1.0
16773,5,67,4.701749263004912,66,1.5027175673666884,0.9923664122137404,1,64,0.0,1.0076923076923077,2,0.15267175572519084,67,1.0
49540,6,97,4.905866009218048,96,1.5268096594370906,1.0,2,94,0.0,1.0,1,0.16145833333333334,97,1.0
8587,6,128,4.587093311633927,127,1.5505429906639452,0.9833333333333333,2,111,0.0,1.0169491525423728,2,0.18333333333333332,128,1.0
24971,3,202,5.398816398669286,201,1.6283373567618273,0.9461077844311377,5,128,0.0,1.0569620253164558,3,0.2155688622754491,202,1.0
8589,0,27,4.411097565508278,26,1.4860515629326834,0.98,1,23,0.0,1.0204081632653061,2,0.1,27,1.0
41360,0,58,4.616591030309093,57,1.428202619456569,1.0,0,57,0.0,1.0,1,0.14035087719298245,58,1.0
401,0,20,3.080987046910887,19,1.5519482207090933,0.9428571428571428,1,15,0.0,1.0606060606060606,2,0.11428571428571428,20,1.0
41364,0,58,4.616633028663394,57,1.428202619456569,1.0,0,57,0.0,1.0,1,0.14035087719298245,58,1.0
24985,5,65,4.925976950356074,64,1.5578092785290467,0.983739837398374,2,57,0.0,1.0165289256198347,2,0.15447154471544716,65,1.0
16794,0,67,4.401279886667168,66,1.4991189699401248,1.0,1,65,0.0,1.0,1,0.15151515151515152,67,1.0
49563,4,141,5.751717027727732,140,1.6233413996458679,0.9682539682539683,5,107,0.0,1.0327868852459017,3,0.19047619047619047,141,1.0
24994,6,158,4.573950191857113,157,1.4965317800238143,1.0,1,155,0.0,1.0,1,0.1757188498402556,158,1.0
41379,4,151,5.2700006678154505,150,1.5215539756196454,0.9932659932659933,2,145,0.0,1.006779661016949,3,0.1750841750841751,151,1.0
8613,5,79,4.595110255778039,78,1.6102821928457502,0.972027972027972,3,62,0.0,1.0287769784172662,2,0.17482517482517482,79,1.0
49575,3,296,7.041527571867557,295,1.6944714304954889,0.9371069182389937,14,168,0.0,1.0671140939597314,5,0.22641509433962265,296,1.0
16807,2,67,5.105976587916042,66,1.6734286396194098,0.9464285714285714,4,42,0.0,1.0566037735849056,3,0.17857142857142858,67,1.0
426,0,15,2.8068580295188172,14,1.4814525526116016,1.0,1,13,0.0,1.0,1,0.07142857142857142,15,1.0
25010,6,158,4.625405063132223,157,1.5179827562234696,1.0,2,154,0.0,1.0,1,0.1757188498402556,158,1.0
49590,5,66,5.274843400771712,65,1.6254119799198832,0.9838709677419355,4,55,0.0,1.0163934426229508,2,0.1532258064516129,66,1.0
41402,6,151,4.793126566118542,150,1.4960300080452231,1.0,1,148,0.0,1.0,1,0.17391304347826086,151,1.0
8638,4,128,4.816963418373187,127,1.6207844257052892,0.9788135593220338,5,104,0.0,1.0216450216450217,3,0.1864406779661017,128,1.0
448,0,23,2.6522463410033232,22,1.3866133371438174,1.0,0,22,0.0,1.0,1,0.11363636363636363,23,1.0
25027,2,88,5.381239662919292,87,1.6543411457819779,0.9527027027027027,4,57,0.0,1.049645390070922,3,0.1891891891891892,88,1.0
41416,0,58,4.617178637999464,57,1.428202619456569,1.0,0,57,0.0,1.0,1,0.14035087719298245,58,1.0
16841,5,67,4.930770796393918,66,1.5982955569449673,0.9761904761904762,3,57,0.0,1.024390243902439,3,0.15873015873015872,67,1.0
8648,6,141,3.965342835560622,140,1.4976297893439163,1.0,1,139,0.0,1.0,1,0.175,141,1.0
33232,0,68,4.52156954755729,67,1.439729386821452,1.0,0,67,0.0,1.0,1,0.14925373134328357,68,1.0
33235,3,192,5.7602181058191615,191,1.6429163037728576,0.9610778443113772,7,136,0.0,1.0404984423676011,4,0.20359281437125748,192,1.0
8662,6,128,4.392292361088971,127,1.5714855491392519,0.983402489626556,3,111,0.0,1.0168776371308017,2,0.1825726141078838,128,1.0
472,0,36,2.6748611407378116,35,1.4315602842833157,1.0,0,35,0.0,1.0,1,0.14285714285714285,36,1.0
