q,n_start,steps_to_graph,on_graph
434,28483103,0,True
435,28548639,0,True
436,28614175,0,True
437,28679711,0,True
438,28745247,0,True
439,28810783,0,True
440,28876319,0,True
441,28941855,0,True
442,29007391,0,True
443,29072927,0,True
444,29138463,0,True
445,29203999,0,True
446,29269535,0,True
447,29335071,0,True
448,29400607,0,True
449,29466143,0,True
450,29531679,0,True
451,29597215,0,True
452,29662751,0,True
453,29728287,0,True
454,29793823,0,True
455,29859359,0,True
456,29924895,0,True
457,29990431,0,True
458,30055967,0,True
459,30121503,0,True
460,30187039,0,True
461,30252575,0,True
462,30318111,0,True
463,30383647,0,True
464,30449183,0,True
465,30514719,0,True
466,30580255,0,True
467,30645791,0,True
468,30711327,0,True
469,30776863,0,True
470,30842399,0,True
471,30907935,0,True
472,30973471,0,True
473,31039007,0,True
474,31104543,0,True
475,31170079,0,True
476,31235615,0,True
477,31301151,0,True
478,31366687,0,True
479,31432223,0,True
480,31497759,0,True
481,31563295,0,True
482,31628831,0,True
483,31694367,0,True
484,31759903,0,True
485,31825439,0,True
486,31890975,0,True
487,31956511,0,True
488,32022047,0,True
489,32087583,0,True
490,32153119,0,True
491,32218655,0,True
492,32284191,0,True
493,32349727,0,True
494,32415263,0,True
495,32480799,0,True
496,32546335,0,True
497,32611871,0,True
498,32677407,0,True
499,32742943,0,True
500,32808479,0,True
501,32874015,0,True
502,32939551,0,True
503,33005087,0,True
504,33070623,0,True
505,33136159,0,True
506,33201695,0,True
507,33267231,0,True
508,33332767,0,True
509,33398303,0,True
510,33463839,0,True
511,33529375,0,True
512,33594911,0,True
513,33660447,0,True
514,33725983,0,True
515,33791519,0,True
516,33857055,0,True
517,33922591,0,True
518,33988127,0,True
519,34053663,0,True
520,34119199,0,True
521,34184735,0,True
522,34250271,0,True
523,34315807,0,True
524,34381343,0,True
525,34446879,0,True
526,34512415,0,True
527,34577951,0,True
528,34643487,0,True
529,34709023,0,True
530,34774559,0,True
531,34840095,0,True
532,34905631,0,True
533,34971167,0,True
534,35036703,0,True
535,35102239,0,True
536,35167775,0,True
537,35233311,0,True
538,35298847,0,True
539,35364383,0,True
540,35429919,0,True
541,35495455,0,True
542,35560991,0,True
543,35626527,0,True
544,35692063,0,True
545,35757599,0,True
546,35823135,0,True
547,35888671,0,True
548,35954207,0,True
549,36019743,0,True
550,36085279,0,True
551,36150815,0,True
552,36216351,0,True
553,36281887,0,True
554,36347423,0,True
555,36412959,0,True
556,36478495,0,True
557,36544031,0,True
558,36609567,0,True
559,36675103,0,True
560,36740639,0,True
561,36806175,0,True
562,36871711,0,True
563,36937247,0,True
564,37002783,0,True
565,37068319,0,True
566,37133855,0,True
567,37199391,0,True
568,37264927,0,True
569,37330463,0,True
570,37395999,0,True
571,37461535,0,True
572,37527071,0,True
573,37592607,0,True
574,37658143,0,True
575,37723679,0,True
576,37789215,0,True
577,37854751,0,True
578,37920287,0,True
579,37985823,0,True
580,38051359,0,True
581,38116895,0,True
582,38182431,0,True
583,38247967,0,True
584,38313503,0,True
585,38379039,0,True
586,38444575,0,True
587,38510111,0,True
588,38575647,0,True
589,38641183,0,True
590,38706719,0,True
591,38772255,0,True
592,38837791,0,True
593,38903327,0,True
594,38968863,0,True
595,39034399,0,True
596,39099935,0,True
597,39165471,0,True
598,39231007,0,True
599,39296543,0,True
600,39362079,0,True
601,39427615,0,True
602,39493151,0,True
603,39558687,0,True
604,39624223,0,True
605,39689759,0,True
606,39755295,0,True
607,39820831,0,True
608,39886367,0,True
609,39951903,0,True
610,40017439,0,True
611,40082975,0,True
612,40148511,0,True
613,40214047,0,True
614,40279583,0,True
615,40345119,0,True
616,40410655,0,True
617,40476191,0,True
618,40541727,0,True
619,40607263,0,True
620,40672799,0,True
621,40738335,0,True
622,40803871,0,True
623,40869407,0,True
624,40934943,0,True
