r,v,rank,rank_next,tau,efficiency,next_r,next_v
8669,0,138,137,1,1,26008,3
8670,1,78,77,1,1,4335,0
8671,0,123,122,1,1,26014,1
8672,3,45,44,1,1,4336,3
8673,0,138,137,1,1,26020,2
8674,1,45,44,1,1,4337,0
8675,0,45,44,1,1,26026,1
8676,2,76,75,1,1,4338,1
8677,0,76,75,1,1,26032,3
8678,1,76,75,1,1,4339,0
8679,0,115,114,1,1,26038,1
8680,3,45,44,1,1,4340,2
8681,0,35,34,1,1,26044,2
8682,1,45,44,1,1,4341,0
8683,0,65,64,1,1,26050,1
8684,2,50,49,1,1,4342,1
8685,0,50,49,1,1,26056,3
8686,1,50,49,1,1,4343,0
8687,0,74,73,1,1,26062,1
8688,3,138,137,1,1,4344,3
8689,0,45,44,1,1,26068,2
8690,1,50,49,1,1,4345,0
8691,0,50,49,1,1,26074,1
8692,2,138,137,1,1,4346,1
8693,0,138,137,1,1,26080,3
8694,1,203,202,1,1,4347,0
8695,0,203,202,1,1,26086,1
8696,3,138,137,1,1,4348,2
8697,0,123,122,1,1,26092,2
8698,1,138,137,1,1,4349,0
8699,0,123,122,1,1,26098,1
8700,2,60,59,1,1,4350,1
8701,0,60,59,1,1,26104,3
8702,1,51,50,1,1,4351,0
8703,0,110,109,1,1,26110,1
8704,3,19,18,1,1,4352,3
8705,0,169,168,1,1,26116,2
8706,1,138,137,1,1,4353,0
8707,0,138,137,1,1,26122,1
8708,2,138,137,1,1,4354,1
8709,0,138,137,1,1,26128,3
8710,1,138,137,1,1,4355,0
8711,0,107,106,1,1,26134,1
8712,3,45,44,1,1,4356,2
8713,0,138,137,1,1,26140,2
8714,1,45,44,1,1,4357,0
8715,0,138,137,1,1,26146,1
8716,2,45,44,1,1,4358,1
8717,0,45,44,1,1,26152,3
8718,1,169,168,1,1,4359,0
8719,0,74,73,1,1,26158,1
8720,3,45,44,1,1,4360,3
8721,0,45,44,1,1,26164,2
8722,1,138,137,1,1,4361,0
8723,0,138,137,1,1,26170,1
8724,2,45,44,1,1,4362,1
8725,0,45,44,1,1,26176,3
8726,1,138,137,1,1,4363,0
8727,0,138,137,1,1,26182,1
8728,3,45,44,1,1,4364,2
8729,0,138,137,1,1,26188,2
8730,1,45,44,1,1,4365,0
8731,0,129,128,1,1,26194,1
8732,2,138,137,1,1,4366,1
8733,0,138,137,1,1,26200,3
8734,1,138,137,1,1,4367,0
8735,0,35,34,1,1,26206,1
8736,3,32,31,1,1,4368,3
8737,0,138,137,1,1,26212,2
8738,1,45,44,1,1,4369,0
8739,0,45,44,1,1,26218,1
8740,2,87,86,1,1,4370,1
8741,0,87,86,1,1,26224,3
8742,1,87,86,1,1,4371,0
8743,0,124,123,1,1,26230,1
8744,3,32,31,1,1,4372,2
8745,0,36,35,1,1,26236,2
8746,1,32,31,1,1,4373,0
8747,0,45,44,1,1,26242,1
8748,2,76,75,1,1,4374,1
8749,0,76,75,1,1,26248,3
8750,1,76,75,1,1,4375,0
8751,0,180,179,1,1,26254,1
8752,3,32,31,1,1,4376,3
8753,0,76,75,1,1,26260,2
8754,1,76,75,1,1,4377,0
8755,0,76,75,1,1,26266,1
8756,2,32,31,1,1,4378,1
8757,0,32,31,1,1,26272,3
8758,1,166,165,1,1,4379,0
8759,0,166,165,1,1,26278,1
8760,3,76,75,1,1,4380,2
8761,0,157,156,1,1,26284,2
8762,1,76,75,1,1,4381,0
8763,0,45,44,1,1,26290,1
8764,2,76,75,1,1,4382,1
8765,0,76,75,1,1,26296,3
8766,1,39,38,1,1,4383,0
8767,0,56,55,1,1,26302,1
8768,3,94,93,1,1,4384,3
8769,0,138,137,1,1,26308,2
8770,1,138,137,1,1,4385,0
8771,0,138,137,1,1,26314,1
8772,2,138,137,1,1,4386,1
8773,0,138,137,1,1,26320,3
8774,1,138,137,1,1,4387,0
8775,0,138,137,1,1,26326,1
8776,3,138,137,1,1,4388,2
8777,0,138,137,1,1,26332,2
8778,1,138,137,1,1,4389,0
8779,0,138,137,1,1,26338,1
8780,2,138,137,1,1,4390,1
8781,0,138,137,1,1,26344,3
8782,1,169,168,1,1,4391,0
8783,0,149,148,1,1,26350,1
8784,3,94,93,1,1,4392,3
8785,0,138,137,1,1,26356,2
8786,1,138,137,1,1,4393,0
8787,0,138,137,1,1,26362,1
8788,2,94,93,1,1,4394,1
8789,0,94,93,1,1,26368,3
8790,1,125,124,1,1,4395,0
8791,0,125,124,1,1,26374,1
8792,3,32,31,1,1,4396,2
8793,0,125,124,1,1,26380,2
8794,1,32,31,1,1,4397,0
8795,0,47,46,1,1,26386,1
8796,2,32,31,1,1,4398,1
8797,0,32,31,1,1,26392,3
8798,1,84,83,1,1,4399,0
8799,0,87,86,1,1,26398,1
8800,3,94,93,1,1,4400,3
8801,0,76,75,1,1,26404,2
8802,1,138,137,1,1,4401,0
8803,0,138,137,1,1,26410,1
8804,2,138,137,1,1,4402,1
8805,0,138,137,1,1,26416,3
8806,1,138,137,1,1,4403,0
8807,0,122,121,1,1,26422,1
8808,3,94,93,1,1,4404,2
8809,0,135,134,1,1,26428,2
8810,1,94,93,1,1,4405,0
8811,0,50,49,1,1,26434,1
8812,2,50,49,1,1,4406,1
8813,0,50,49,1,1,26440,3
8814,1,50,49,1,1,4407,0
8815,0,43,42,1,1,26446,1
8816,3,45,44,1,1,4408,3
8817,0,94,93,1,1,26452,2
8818,1,58,57,1,1,4409,0
8819,0,58,57,1,1,26458,1
8820,2,45,44,1,1,4410,1
8821,0,45,44,1,1,26464,3
8822,1,45,44,1,1,4411,0
8823,0,45,44,1,1,26470,1
8824,3,45,44,1,1,4412,2
8825,0,138,137,1,1,26476,2
8826,1,45,44,1,1,4413,0
8827,0,120,119,1,1,26482,1
8828,2,92,91,1,1,4414,1
8829,0,92,91,1,1,26488,3
8830,1,55,54,1,1,4415,0
8831,0,126,125,1,1,26494,1
8832,3,19,18,1,1,4416,3
8833,0,76,75,1,1,26500,2
8834,1,94,93,1,1,4417,0
8835,0,94,93,1,1,26506,1
8836,2,76,75,1,1,4418,1
8837,0,76,75,1,1,26512,3
8838,1,76,75,1,1,4419,0
8839,0,76,75,1,1,26518,1
8840,3,94,93,1,1,4420,2
8841,0,42,41,1,1,26524,2
8842,1,94,93,1,1,4421,0
8843,0,76,75,1,1,26530,1
8844,2,94,93,1,1,4422,1
8845,0,94,93,1,1,26536,3
8846,1,154,153,1,1,4423,0
8847,0,149,148,1,1,26542,1
8848,3,138,137,1,1,4424,3
8849,0,45,44,1,1,26548,2
8850,1,45,44,1,1,4425,0
8851,0,45,44,1,1,26554,1
8852,2,138,137,1,1,4426,1
8853,0,138,137,1,1,26560,3
8854,1,94,93,1,1,4427,0
8855,0,94,93,1,1,26566,1
8856,3,138,137,1,1,4428,2
8857,0,107,106,1,1,26572,2
8858,1,138,137,1,1,4429,0
8859,0,156,155,1,1,26578,1
8860,2,69,68,1,1,4430,1
8861,0,69,68,1,1,26584,3
8862,1,69,68,1,1,4431,0
8863,0,138,137,1,1,26590,1
8864,3,19,18,1,1,4432,3
8865,0,101,100,1,1,26596,2
8866,1,138,137,1,1,4433,0
8867,0,138,137,1,1,26602,1
8868,2,56,55,1,1,4434,1
8869,0,56,55,1,1,26608,3
8870,1,56,55,1,1,4435,0
8871,0,138,137,1,1,26614,1
8872,3,19,18,1,1,4436,2
8873,0,125,124,1,1,26620,2
8874,1,19,18,1,1,4437,0
8875,0,94,93,1,1,26626,1
8876,2,94,93,1,1,4438,1
8877,0,94,93,1,1,26632,3
8878,1,94,93,1,1,4439,0
8879,0,43,42,1,1,26638,1
8880,3,32,31,1,1,4440,3
8881,0,87,86,1,1,26644,2
8882,1,87,86,1,1,4441,0
8883,0,87,86,1,1,26650,1
8884,2,32,31,1,1,4442,1
8885,0,32,31,1,1,26656,3
8886,1,94,93,1,1,4443,0
8887,0,94,93,1,1,26662,1
8888,3,32,31,1,1,4444,2
8889,0,87,86,1,1,26668,2
8890,1,32,31,1,1,4445,0
8891,0,68,67,1,1,26674,1
8892,2,87,86,1,1,4446,1
8893,0,87,86,1,1,26680,3
8894,1,120,119,1,1,4447,0
8895,0,96,95,1,1,26686,1
8896,3,45,44,1,1,4448,3
8897,0,32,31,1,1,26692,2
8898,1,68,67,1,1,4449,0
8899,0,68,67,1,1,26698,1
8900,2,138,137,1,1,4450,1
8901,0,138,137,1,1,26704,3
8902,1,138,137,1,1,4451,0
8903,0,94,93,1,1,26710,1
8904,3,138,137,1,1,4452,2
8905,0,94,93,1,1,26716,2
8906,1,138,137,1,1,4453,0
8907,0,94,93,1,1,26722,1
