r,v,initial_rank,n_start,escaped,escape_steps,final_rank
286,1,102,286,True,1,101
286,1,102,65822,True,3,39
286,1,102,131358,True,1,101
288,3,22,288,True,1,21
288,3,22,65824,True,94,21
288,3,22,131360,True,1,21
290,1,115,290,True,1,114
290,1,115,65826,True,1,77
290,1,115,131362,True,1,114
292,2,115,292,True,1,114
292,2,115,65828,True,1,97
292,2,115,131364,True,1,114
294,1,115,294,True,1,114
294,1,115,65830,True,1,77
294,1,115,131366,True,1,114
296,3,22,296,True,1,21
296,3,22,65832,True,94,21
296,3,22,131368,True,1,21
298,1,22,298,True,1,21
298,1,22,65834,True,94,21
298,1,22,131370,True,1,21
300,2,14,300,True,1,13
300,2,14,65836,True,27,13
300,2,14,131372,True,1,13
302,1,14,302,True,1,13
302,1,14,65838,True,27,13
302,1,14,131374,True,1,13
304,3,22,304,True,1,21
304,3,22,65840,True,94,21
304,3,22,131376,True,1,21
306,1,35,306,True,1,34
306,1,35,65842,True,19,34
306,1,35,131378,True,1,34
308,2,22,308,True,1,21
308,2,22,65844,True,94,21
308,2,22,131380,True,1,21
310,1,84,310,True,1,83
310,1,84,65846,True,8,48
310,1,84,131382,True,1,83
312,3,35,312,True,1,34
312,3,35,65848,True,19,34
312,3,35,131384,True,1,34
314,1,35,314,True,1,34
314,1,35,65850,True,19,34
314,1,35,131386,True,1,34
316,2,35,316,True,1,34
316,2,35,65852,True,19,34
316,2,35,131388,True,1,34
318,1,53,318,True,1,52
318,1,53,65854,True,22,52
318,1,53,131390,True,1,52
320,3,9,320,True,1,8
320,3,9,65856,True,120,8
320,3,9,131392,True,1,8
322,1,97,322,True,1,96
322,1,97,65858,True,1,92
322,1,97,131394,True,1,96
324,2,22,324,True,1,21
324,2,22,65860,True,94,21
324,2,22,131396,True,1,21
326,1,22,326,True,1,21
326,1,22,65862,True,94,21
326,1,22,131398,True,1,21
328,3,110,328,True,1,109
328,3,110,65864,True,7,109
328,3,110,131400,True,1,109
330,1,110,330,True,1,109
