r,v
2990,1
2992,3
2994,1
2996,2
2998,1
3000,3
3002,1
3004,2
3006,1
3008,3
3010,1
3012,2
3014,1
3016,3
3018,1
3020,2
3022,1
3024,3
3026,1
3028,2
3030,1
3032,3
3034,1
3036,2
3038,1
3040,3
3042,1
3044,2
3046,1
3048,3
3050,1
3052,2
3054,1
3056,3
3058,1
3060,2
3062,1
3064,3
3066,1
3068,2
3070,1
3072,3
3074,1
3076,2
3078,1
3080,3
3082,1
3084,2
3086,1
3088,3
3090,1
3092,2
3094,1
3096,3
3098,1
3100,2
3102,1
3104,3
3106,1
3108,2
3110,1
3112,3
3114,1
3116,2
3118,1
3120,3
3122,1
3124,2
3126,1
3128,3
3130,1
3132,2
3134,1
3136,3
3138,1
3140,2
3142,1
3144,3
3146,1
3148,2
3150,1
3152,3
3154,1
3156,2
3158,1
3160,3
3162,1
3164,2
3166,1
3168,3
3170,1
3172,2
3174,1
3176,3
3178,1
3180,2
3182,1
3184,3
3186,1
3188,2
3190,1
3192,3
3194,1
3196,2
3198,1
3200,3
3202,1
3204,2
3206,1
3208,3
3210,1
3212,2
3214,1
3216,3
3218,1
3220,2
3222,1
3224,3
3226,1
3228,2
3230,1
3232,3
3234,1
3236,2
3238,1
3240,3
3242,1
3244,2
3246,1
3248,3
3250,1
3252,2
3254,1
3256,3
3258,1
3260,2
3262,1
3264,3
3266,1
3268,2
3270,1
3272,3
3274,1
3276,2
3278,1
3280,3
3282,1
3284,2
3286,1
3288,3
3290,1
3292,2
3294,1
3296,3
3298,1
3300,2
3302,1
3304,3
3306,1
3308,2
3310,1
3312,3
3314,1
3316,2
3318,1
3320,3
3322,1
3324,2
3326,1
3328,3
3330,1
3332,2
3334,1
3336,3
3338,1
3340,2
3342,1
3344,3
3346,1
3348,2
3350,1
3352,3
3354,1
3356,2
3358,1
3360,3
3362,1
3364,2
3366,1
3368,3
3370,1
3372,2
3374,1
3376,3
3378,1
3380,2
3382,1
3384,3
3386,1
3388,2
3390,1
3392,3
3394,1
3396,2
3398,1
3400,3
3402,1
3404,2
3406,1
3408,3
3410,1
3412,2
3414,1
3416,3
3418,1
3420,2
3422,1
3424,3
3426,1
3428,2
3430,1
3432,3
3434,1
3436,2
3438,1
3440,3
3442,1
3444,2
3446,1
3448,3
3450,1
3452,2
3454,1
3456,3
3458,1
3460,2
3462,1
3464,3
3466,1
3468,2
3470,1
3472,3
3474,1
3476,2
3478,1
3480,3
3482,1
3484,2
3486,1
3488,3
3490,1
3492,2
3494,1
3496,3
3498,1
3500,2
3502,1
3504,3
3506,1
3508,2
3510,1
3512,3
3514,1
3516,2
3518,1
3520,3
3522,1
3524,2
3526,1
3528,3
3530,1
3532,2
3534,1
3536,3
3538,1
3540,2
3542,1
3544,3
3546,1
3548,2
3550,1
3552,3
3554,1
3556,2
3558,1
3560,3
3562,1
3564,2
3566,1
3568,3
3570,1
3572,2
3574,1
3576,3
3578,1
3580,2
3582,1
3584,3
3586,1
3588,2
3590,1
3592,3
3594,1
3596,2
3598,1
3600,3
3602,1
3604,2
3606,1
3608,3
3610,1
3612,2
3614,1
3616,3
3618,1
3620,2
3622,1
3624,3
3626,1
3628,2
3630,1
3632,3
3634,1
3636,2
3638,1
3640,3
3642,1
3644,2
3646,1
3648,3
3650,1
3652,2
3654,1
3656,3
3658,1
3660,2
3662,1
3664,3
3666,1
3668,2
3670,1
3672,3
3674,1
3676,2
3678,1
3680,3
3682,1
3684,2
3686,1
3688,3
3690,1
3692,2
3694,1
3696,3
3698,1
3700,2
3702,1
3704,3
3706,1
3708,2
3710,1
3712,3
3714,1
3716,2
3718,1
3720,3
3722,1
3724,2
3726,1
3728,3
3730,1
3732,2
3734,1
3736,3
3738,1
3740,2
3742,1
3744,3
3746,1
3748,2
3750,1
3752,3
3754,1
3756,2
3758,1
3760,3
3762,1
3764,2
3766,1
3768,3
3770,1
3772,2
3774,1
3776,3
3778,1
3780,2
3782,1
3784,3
3786,1
3788,2
3790,1
3792,3
3794,1
3796,2
3798,1
3800,3
3802,1
3804,2
3806,1
3808,3
3810,1
3812,2
3814,1
3816,3
3818,1
3820,2
3822,1
3824,3
3826,1
3828,2
3830,1
3832,3
3834,1
3836,2
3838,1
3840,3
3842,1
3844,2
3846,1
3848,3
3850,1
3852,2
3854,1
3856,3
3858,1
3860,2
3862,1
3864,3
3866,1
3868,2
3870,1
3872,3
3874,1
3876,2
3878,1
